n,algoritmo,tempo_medio_s,tempo_min_s,tempo_max_s,operacoes,memoria_pico_kb,valor,inicio,fim
100,forca_bruta,0.0001902904666669277,0.00017389299999592822,0.0002388190000033319,5050.0,0.421875,133.2672,15.0,22.0
100,divide_conquer,0.00013979926666820574,0.00012336999999718046,0.0001738469999992276,970.0,0.421875,133.2672,15.0,22.0
250,forca_bruta,0.0010970533999994814,0.0010655439999993632,0.0011849889999950847,31375.0,0.421875,648.6597,84.0,92.0
250,divide_conquer,0.00036217793333245634,0.0003180889999896408,0.0004291970000025458,2742.0,0.421875,648.6596999999999,84.0,92.0
500,forca_bruta,0.00543380199999793,0.005016853000000765,0.0067114050000043335,125250.0,0.81640625,329.02,15.0,22.0
500,divide_conquer,0.0008076364666663949,0.0007571649999960073,0.0009022389999984171,5986.0,1.265625,329.02,15.0,22.0
1000,forca_bruta,0.02175898833333652,0.02110248799999681,0.02240861500000335,500500.0,3.1689453125,598.3693,39.0,47.0
1000,divide_conquer,0.0015799333333366878,0.001512855000001423,0.0016441610000015316,12974.0,1.390625,598.3693,39.0,47.0
2000,forca_bruta,0.08750694466666668,0.08318099800000311,0.09466816299999437,2001000.0,0.421875,2196.0456000000004,1259.0,1293.0
2000,divide_conquer,0.003325442999999003,0.003265265999999656,0.0034340950000029125,27950.0,1.609375,2196.0456,1259.0,1293.0
5000,forca_bruta,0.5195639870000027,0.5124894790000099,0.533313984000003,12502500.0,1.21484375,35837.96219999995,3105.0,4990.0
5000,divide_conquer,0.008588514999994837,0.00856268799998361,0.008607471000004807,76806.0,1.734375,35837.962199999994,3105.0,4990.0
