origem,destino,peso,bloqueada
0,1,31.36,0
0,15,37.69,0
0,16,5.05,1
0,20,32.14,0
1,2,37.79,1
1,3,28.08,0
1,4,11.65,0
1,7,29.49,0
1,13,46.13,0
1,15,14.83,0
1,17,76.69,0
2,8,22.94,0
3,5,13.12,0
3,7,12.64,0
3,8,67.06,0
3,12,9.04,0
4,5,28.6,0
4,7,25.45,0
4,9,42.28,0
4,12,22.39,1
4,16,24.2,0
4,18,48.8,0
4,20,6.85,0
5,6,38.03,0
5,7,23.84,0
5,20,30.2,1
6,11,26.38,0
6,12,48.59,0
6,18,29.64,0
7,10,90.03,0
7,14,72.5,0
8,19,14.97,0
9,11,86.57,1
9,13,6.18,0
9,15,63.27,1
12,20,18.78,0
14,15,34.22,0
14,19,20.7,0
15,16,33.23,0
15,19,14.05,0
15,20,24.1,0
16,19,43.3,0
16,20,30.38,0
