indice,timestamp,regiao,consumo,capacidade,prioridade,custo
0,2026-01-01 00:00:00,Sudeste,716.58,1450.0,5,300.96
1,2026-01-01 01:00:00,Sul,443.03,1050.0,1,186.07
2,2026-01-01 02:00:00,Nordeste,522.98,1200.0,1,219.65
3,2026-01-01 03:00:00,Norte,292.48,800.0,3,122.84
4,2026-01-01 04:00:00,Centro-Oeste,341.25,950.0,2,143.33
5,2026-01-01 05:00:00,Sudeste,612.51,1450.0,5,257.25
6,2026-01-01 06:00:00,Sul,470.58,1050.0,1,197.65
7,2026-01-01 07:00:00,Nordeste,654.42,1200.0,2,274.86
8,2026-01-01 08:00:00,Norte,500.31,800.0,1,210.13
9,2026-01-01 09:00:00,Centro-Oeste,593.06,950.0,2,249.08
10,2026-01-01 10:00:00,Sudeste,1065.44,1450.0,5,447.49
11,2026-01-01 11:00:00,Sul,715.33,1050.0,1,300.44
12,2026-01-01 12:00:00,Nordeste,937.72,1200.0,3,393.84
13,2026-01-01 13:00:00,Norte,564.56,800.0,3,237.12
14,2026-01-01 14:00:00,Centro-Oeste,700.56,950.0,3,294.23
15,2026-01-01 15:00:00,Sudeste,1053.23,1450.0,5,442.36
16,2026-01-01 16:00:00,Sul,767.63,1050.0,2,322.41
17,2026-01-01 17:00:00,Nordeste,1010.56,1200.0,3,424.44
18,2026-01-01 18:00:00,Norte,671.44,800.0,3,282.01
19,2026-01-01 19:00:00,Centro-Oeste,779.99,950.0,4,327.59
20,2026-01-01 20:00:00,Sudeste,1165.7,1450.0,5,489.6
21,2026-01-01 21:00:00,Sul,789.97,1050.0,4,331.79
22,2026-01-01 22:00:00,Nordeste,822.32,1200.0,4,345.37
23,2026-01-01 23:00:00,Norte,449.56,800.0,2,188.81
24,2026-01-02 00:00:00,Centro-Oeste,482.73,950.0,1,202.75
25,2026-01-02 01:00:00,Sudeste,684.31,1450.0,5,287.41
26,2026-01-02 02:00:00,Sul,406.79,1050.0,4,170.85
27,2026-01-02 03:00:00,Nordeste,471.11,1200.0,1,197.87
28,2026-01-02 04:00:00,Norte,294.6,800.0,3,123.73
29,2026-01-02 05:00:00,Centro-Oeste,386.89,950.0,1,162.5
30,2026-01-02 06:00:00,Sudeste,744.52,1450.0,5,312.7
31,2026-01-02 07:00:00,Sul,528.72,1050.0,4,222.06
32,2026-01-02 08:00:00,Nordeste,704.72,1200.0,4,295.98
33,2026-01-02 09:00:00,Norte,498.97,800.0,3,209.57
34,2026-01-02 10:00:00,Centro-Oeste,656.58,950.0,2,275.76
35,2026-01-02 11:00:00,Sudeste,988.57,1450.0,5,415.2
36,2026-01-02 12:00:00,Sul,741.37,1050.0,1,311.38
37,2026-01-02 13:00:00,Nordeste,922.9,1200.0,4,387.62
38,2026-01-02 14:00:00,Norte,581.9,800.0,4,244.4
39,2026-01-02 15:00:00,Centro-Oeste,754.67,950.0,1,316.96
40,2026-01-02 16:00:00,Sudeste,1143.36,1450.0,5,480.21
41,2026-01-02 17:00:00,Sul,796.56,1050.0,2,334.56
42,2026-01-02 18:00:00,Nordeste,959.19,1200.0,3,402.86
43,2026-01-02 19:00:00,Norte,693.32,800.0,2,291.19
44,2026-01-02 20:00:00,Centro-Oeste,734.35,950.0,2,308.43
45,2026-01-02 21:00:00,Sudeste,1096.18,1450.0,5,460.39
46,2026-01-02 22:00:00,Sul,702.6,1050.0,1,295.09
47,2026-01-02 23:00:00,Nordeste,678.51,1200.0,2,284.98
48,2026-01-03 00:00:00,Norte,408.24,800.0,1,171.46
49,2026-01-03 01:00:00,Centro-Oeste,399.27,950.0,1,167.69
50,2026-01-03 02:00:00,Sudeste,621.81,1450.0,5,261.16
51,2026-01-03 03:00:00,Sul,432.1,1050.0,4,181.48
52,2026-01-03 04:00:00,Nordeste,466.38,1200.0,2,195.88
53,2026-01-03 05:00:00,Norte,330.92,800.0,3,138.99
54,2026-01-03 06:00:00,Centro-Oeste,448.52,950.0,4,188.38
55,2026-01-03 07:00:00,Sudeste,856.87,1450.0,5,359.89
56,2026-01-03 08:00:00,Sul,584.92,1050.0,3,245.67
57,2026-01-03 09:00:00,Nordeste,837.42,1200.0,2,351.72
58,2026-01-03 10:00:00,Norte,518.7,800.0,1,217.86
59,2026-01-03 11:00:00,Centro-Oeste,678.15,950.0,2,284.82
60,2026-01-03 12:00:00,Sudeste,1122.35,1450.0,5,471.39
61,2026-01-03 13:00:00,Sul,794.49,1050.0,4,333.69
62,2026-01-03 14:00:00,Nordeste,910.36,1200.0,1,382.35
63,2026-01-03 15:00:00,Norte,603.42,800.0,1,253.44
64,2026-01-03 16:00:00,Centro-Oeste,768.31,950.0,1,322.69
65,2026-01-03 17:00:00,Sudeste,1176.0,1450.0,5,493.92
66,2026-01-03 18:00:00,Sul,851.17,1050.0,1,357.49
67,2026-01-03 19:00:00,Nordeste,1113.79,1200.0,2,467.79
68,2026-01-03 20:00:00,Norte,656.58,800.0,1,275.76
69,2026-01-03 21:00:00,Centro-Oeste,720.37,950.0,3,302.55
70,2026-01-03 22:00:00,Sudeste,870.48,1450.0,5,365.6
71,2026-01-03 23:00:00,Sul,608.0,1050.0,4,255.36
72,2026-01-04 00:00:00,Nordeste,600.64,1200.0,2,252.27
