id,nome,pessoas,prioridade,demanda,beneficio,x,y,centro
0,Centro de Distribuicao,0,3,0,0.0,50.0,50.0,1
1,Vila Alta,3627,1,44,40.89,81.21,53.1,0
2,Jardim Rio,1133,1,16,12.47,76.19,90.56,0
3,Morro Verde,3395,3,43,101.69,80.88,25.02,0
4,Centro Sul,1740,4,21,70.51,74.69,43.45,0
5,Parque Norte,279,1,5,3.18,72.48,14.94,0
6,Bairro Industrial,240,4,8,8.55,42.52,38.36,0
7,Vila Ponte,496,4,11,18.19,93.46,26.27,0
8,Sitio Novo,3678,5,39,205.94,99.11,89.55,0
9,Cohab Leste,2490,3,26,64.47,92.78,5.24,0
10,Beira Rio,235,2,5,5.32,18.99,76.86,0
11,Alto da Serra,3628,1,48,32.9,20.58,53.01,0
12,Vila Encosta,2798,3,30,94.76,89.73,26.86,0
13,Distrito Oeste,1466,4,21,59.67,97.0,9.76,0
14,Nova Aurora,2308,2,21,48.69,98.08,98.62,0
15,Campo Belo,510,1,9,5.56,83.23,67.79,0
16,Vila Lagoa,3641,1,36,34.88,52.96,54.09,0
17,Recanto Azul,1813,5,22,104.25,4.53,52.17,0
18,Bela Vista,2713,1,27,27.96,40.32,8.8,0
19,Porto Velho Bairro,1319,3,20,41.21,86.52,81.45,0
20,Chacara Sul,3265,4,43,130.34,81.53,43.75,0
